,titles,prices
107,Xiaomi 12 8/128GB Grey,"2 799,00 zł"
108,Xiaomi Redmi Note 10 Pro 6/64GB Onyx Gray 120Hz,"1 199,00 zł"
109,Xiaomi 12 8/128GB Blue,"2 799,00 zł"
110,Samsung Galaxy M23 5G 4/128GB Pink 120Hz,"949,00 zł"
111,Xiaomi 11T 8/128GB Moonlight White,"1 699,00 zł"
112,Apple iPhone 12 64GB Black 5G,"3 649,00 zł"
113,Apple iPhone 14 128GB Midnight,"4 999,00 zł"
114,OnePlus Nord 2T 5G 8/128GB  Gray Shadow EU,"1 849,00 zł"
115,Motorola moto g22 4/64 GB Cosmic Black,"699,00 zł"
116,realme 9 Pro 8+128GB Midnight Black 120Hz,"1 399,00 zł"
117,Samsung Galaxy S20 FE 5G Fan Edition Biały,"2 199,00 zł"
118,Motorola moto g72 8/128GB Meteorite Grey,"1 299,00 zł"
119,Samsung Galaxy M13 4/64GB Orange,"749,00 zł"
