Title,Price,Date
Laptop Acer Aspire 3 A317-53-33NX 17,3  i3-1115G4 - 16GB RAM - 512GB Dysk - Win11,3 099 zł,2023-02-23
Laptop Lenovo IdeaPad 3 15ITL6 15,6  i3-1115G4 - 8GB RAM - 512GB Dysk - Win11S,2 099 zł,2023-02-23
Laptop Apple MacBook Air M2 13,6 M2 - 8GB RAM - 256GB Dysk - macOS (gwiezdna szarość) US,6 999 zł,2023-02-23
Laptop gamingowy Acer Nitro 5 AN515-58-54R4 15,6 144Hz  i5-12500H - 8GB RAM - 512GB Dysk - RTX3050Ti  - Win11,4 499 zł,2023-02-23
Laptop Apple MacBook Air M1 13,3 M1 - 8GB RAM - 256GB Dysk - macOS (srebrny),5 799 zł,2023-02-23
Laptop Apple MacBook Air M2 13,6 M2 - 8GB RAM - 256GB Dysk - macOS (srebrny) US,6 749 zł,2023-02-23
Laptop gamingowy Lenovo Legion 5 15ACH6H 15,6 165Hz R7 5800H - 16GB RAM - 512GB Dysk - RTX3060  - Win11,6 599 zł,2023-02-23
Laptop ASUS X515JA-BQ3327W 15,6  i3-1005G1 - 8GB RAM - 512GB Dysk - Win11,1 999 zł,2023-02-23
Laptop Huawei MateBook D 16 16  i7-12700H - 16GB RAM - 512GB Dysk - Win11,4 499 zł,2023-02-23
Laptop Lenovo IdeaPad 3 15ALC6 15,6 R5 5500U - 8GB RAM - 512GB Dysk - Win11,2 799 zł,2023-02-23
Laptop gamingowy Lenovo Legion 7 15IMH05 15,6 144Hz  i7-10750H - 16GB RAM - 1TB SSD Dysk - RTX2080SMQ,9 399 zł,2023-02-23
Laptop ASUS X515EA-BQ1735W 15,6  i5-1135G7 - 16GB RAM - 512GB Dysk - Win11,3 199 zł,2023-02-23
Laptop Apple MacBook Pro 2021 14,2 M1 Pro - 16GB RAM - 1TB Dysk - macOS (srebrny),11 499 zł,2023-02-23
Laptop gamingowy Lenovo Legion 5 15ACH6H 15,6 165Hz R5 5600H - 16GB RAM - 1TB Dysk - RTX3070  - Win11,7 999 zł,2023-02-23
Laptop Apple MacBook Pro 2023 14,2 M2 Pro - 16GB RAM - 512GB Dysk - macOS (gwiezdna szarość),11 399 zł,2023-02-23
