Sklep;Nazwa;Model;Cena;Data;Pojemność;Format;Typ podłączenia;MaksPredkoscOdczytu;Maks prędkość zapisu
MediaMarkt;PNY;XLR8 CS3040 M.2 NVMe Gen4 2TB;1489;2023.06.24;2 TB;M.2 2280;PCl-e gen 4 x4 NVMe;4300;5600
MediaMarkt;GOODRAM;IRDM Pro gen. 2 1TB IRP-SSDPR-S25C-01T;679;2023.06.24;1 TB;2.5;SATA III (6 Gb/s);555;535
MediaMarkt;SAMSUNG;870 Evo;169;2023.06.24;250 GB;2.5;SATA III (6 Gb/s);560;530
MediaMarkt;GOODRAM;PX500 1TB NVMe PCIe Gen 3 x4 SSDPR-PX500-01T-80;359;2023.06.24;1 TB;M.2 2280;PCI-e gen 3 x4 NVMe;2050;1650
MediaMarkt;GOODRAM;S400u 120GB M.2 2242 SSDPB-S400U-120-42;109;2023.06.24;120 GB;M.2 2242;SATA III (6 Gb/s);550;530
MediaMarkt;GOODRAM;CX400 256GB SSDPR-CX400-256;65;2023.06.24;256 GB;2.5;SATA III (6 Gb/s);550;490
MediaMarkt;SAMSUNG;980 Pro 2 TB PCIe Gen 4.0 x4, NVMe MZ-V8P2T0BW;679;2023.06.24;2 TB;M.2 2280;PCl-e gen 4 x4 NVMe;7000;5100
MediaMarkt;PNY;XLR8 CS3140 M.2 NVMe Gen4 2TB;1499;2023.06.24;2 TB;M.2 2280;PCl-e gen 4 x4 NVMe;7500;6850
MediaMarkt;CRUCIAL;P5 Plus 2TB PCIe M.2 2280 CT2000P5PSSD8;879;2023.06.24;2 TB;M.2 2280;PCl-e gen 4 x4 NVMe;6600;5000
MediaMarkt;SAMSUNG;860 EVO SATA III 2.5 cala;369;2023.06.24;500 GB;2.5;SATA III (6 Gb/s);550;520
MediaMarkt;SAMSUNG;250GB M.2 PCIe Gen4 NVMe 980 PRO MZ-V8P250BW;379;2023.06.24;250 GB;M.2 2280;PCl-e gen 4 x4 NVMe;6400;2700
MediaMarkt;KIOXIA;EXCERIA;109;2023.06.24;480 GB;2.5;SATA III (6 Gb/s);555;540
MediaMarkt;SAMSUNG;860 QVO SATA III 2.5 cala 2TB MZ-76Q2T0BW;1269;2023.06.24;2 TB;2.5;SATA III (6 Gb/s);550;520
MediaMarkt;SAMSUNG;970 EVO Plus NVMe M.2 250GB MZ-V7S250BW;169;2023.06.24;250 GB;M.2 2280;PCI-e gen 3 x4 NVMe;3500;2300
MediaMarkt;ADATA;XPG Gammix S11 Pro 1TB PCIe Gen3x4 M.2 2280 AGAMMIXS11P-1TT-C;369;2023.06.24;1 TB;M.2 2280;PCI-e gen 3 x4 NVMe;3500;3000
MediaMarkt;SAMSUNG;970 PRO NVMe M.2 512GB MZ-V7P512BW;779;2023.06.24;512 GB;M.2 2280;PCI-e gen 3 x4 NVMe;3500;2300
MediaMarkt;CRUCIAL;MX500 2TB CT2000MX500SSD1;859;2023.06.24;2 TB;2.5;SATA III (6 Gb/s);560;510
